COD_TABELA_PRECO;COD_INSTITUICAO;NOM_INSTITUICAO;COD_CAMPUS;NOM_CAMPUS;COD_CURSO;NOM_CURSO;COD_TURNO;NOM_TURNO;COD_TIPO_CURSO;NOM_TIPO_CURSO;NOM_MODALIDADE;DT_INI_VIGENCIA;DT_FIM_VIGENCIA;DT_INI_VIGENCIA_TABELA;DT_FIM_VIGENCIA_TABELA;IND_TIPO_PRECO;TIPO_COBRANCA;VAL_FIXO;VAL_FIXO_PRAT;DISCIPLINA_EXTRA;ID_PERIODO_CURSO;REAJUSTAR_FIXO;REAJUSTAR_PRATICADO;IND_PRECO;PRECO_SELECIONADO
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;2;ADMINISTRACAO;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;314,14;314,14;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;3386;ADMINISTRACAO PUBLICA;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;357;357;;0;;;;
2850;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;4340;ANALISE E DESENVOLVIMENTO DE SISTEMAS;9;VIRTUAL;4;TECNOLOGICA;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;299,86;299,86;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;945;ARTES VISUAIS;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;285,57;285,57;;0;;;;
2850;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;4202;BANCO DE DADOS;9;VIRTUAL;4;TECNOLOGICA;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;299,86;299,86;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;556;CIENCIA DA COMPUTACAO;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;642,71;642,71;;0;;;;
2850;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;3388;CIENCIA DE DADOS;9;VIRTUAL;4;TECNOLOGICA;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;328,43;328,43;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;22;CIENCIAS CONTABEIS;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;314,14;314,14;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;4519;CIENCIAS DA NATUREZA;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;285,57;285,57;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;3;CIENCIAS ECONOMICAS;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;399,86;399,86;;0;;;;
2792;374;UNIVERSIDADE ESTACIO DE SA;1837;EAD ANAPOLIS - MARACANA - GO;4520;CIENCIAS EXATAS;9;VIRTUAL;11;TRADICIONAL;EAD;01/07/1970;31/12/2019;01/01/2020;;3;PRECO FIXO;285,57;285,57;;0;;;;
